Conditions,Groups,Tasks,Alignment_Score
within-group,4- to 5-year-olds,coarse_visual,0.352
within-group,4- to 5-year-olds,coarse_visual,0.528
within-group,4- to 5-year-olds,coarse_visual,0.488
within-group,4- to 5-year-olds,coarse_visual,0.304
within-group,4- to 5-year-olds,coarse_visual,0.352
within-group,4- to 5-year-olds,coarse_visual,0.496
within-group,4- to 5-year-olds,coarse_visual,0.504
within-group,4- to 5-year-olds,coarse_visual,0.432
within-group,4- to 5-year-olds,coarse_visual,0.544
within-group,4- to 5-year-olds,coarse_visual,0.496
within-group,4- to 5-year-olds,coarse_visual,0.416
within-group,4- to 5-year-olds,coarse_visual,0.4
within-group,4- to 5-year-olds,coarse_visual,0.528
within-group,4- to 5-year-olds,coarse_visual,0.352
within-group,4- to 5-year-olds,coarse_visual,0.368
within-group,4- to 5-year-olds,coarse_visual,0.384
within-group,4- to 5-year-olds,coarse_visual,0.296
within-group,4- to 5-year-olds,coarse_visual,0.528
within-group,4- to 5-year-olds,coarse_visual,0.248
within-group,4- to 5-year-olds,coarse_visual,0.504
within-group,4- to 5-year-olds,coarse_visual,0.288
within-group,4- to 5-year-olds,coarse_visual,0.408
within-group,4- to 5-year-olds,coarse_visual,0.128
within-group,4- to 5-year-olds,coarse_visual,0.272
within-group,4- to 5-year-olds,coarse_visual,0.416
between-group,4- to 5-year-olds,coarse_visual,0.261666667
between-group,4- to 5-year-olds,coarse_visual,0.211666667
between-group,4- to 5-year-olds,coarse_visual,0.236666667
between-group,4- to 5-year-olds,coarse_visual,0.033
between-group,4- to 5-year-olds,coarse_visual,0.191333333
between-group,4- to 5-year-olds,coarse_visual,0.178333333
between-group,4- to 5-year-olds,coarse_visual,0.186666667
between-group,4- to 5-year-olds,coarse_visual,0.236666667
between-group,4- to 5-year-olds,coarse_visual,0.161666667
between-group,4- to 5-year-olds,coarse_visual,0.178333333
between-group,4- to 5-year-olds,coarse_visual,0.098666667
between-group,4- to 5-year-olds,coarse_visual,0.195
between-group,4- to 5-year-olds,coarse_visual,0.211666667
between-group,4- to 5-year-olds,coarse_visual,0.32
between-group,4- to 5-year-olds,coarse_visual,0.182
between-group,4- to 5-year-olds,coarse_visual,0.211666667
between-group,4- to 5-year-olds,coarse_visual,0.157
between-group,4- to 5-year-olds,coarse_visual,0.211666667
between-group,4- to 5-year-olds,coarse_visual,0.203333333
between-group,4- to 5-year-olds,coarse_visual,0.186666667
between-group,4- to 5-year-olds,coarse_visual,0.133
between-group,4- to 5-year-olds,coarse_visual,0.090333333
between-group,4- to 5-year-olds,coarse_visual,0.082
between-group,4- to 5-year-olds,coarse_visual,0.145
between-group,4- to 5-year-olds,coarse_visual,0.099666667
within-group,6- to 7-year-olds,coarse_visual,0.26
within-group,6- to 7-year-olds,coarse_visual,0.406666667
within-group,6- to 7-year-olds,coarse_visual,0.366666667
within-group,6- to 7-year-olds,coarse_visual,0.373333333
within-group,6- to 7-year-olds,coarse_visual,0.233333333
within-group,6- to 7-year-olds,coarse_visual,0.413333333
within-group,6- to 7-year-olds,coarse_visual,0.28
within-group,6- to 7-year-olds,coarse_visual,0.24
within-group,6- to 7-year-olds,coarse_visual,0.453333333
